FAQ
Question,Answer
What is the status of my order?,Please Fill out this Order Status Form and someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
Where is the package ordered?,Please Fill out this Order Status Form and someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
Where is my private ID? Drivers Licence etc ,Please Fill out this Order Status Form and someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
Where is my  genealogy package?,Please Fill out this Order Status Form and someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
Where is my  vessel plate I submitted?,Please Fill out this Order Status Form and someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
Why am I not able  to download/view the product I purchased?,"If you can not Download the courses directly from your account section, then they should have been emailed to you as well and may be in your Spam folder. If you still can’t find the solution Please Fill out this Order Status Form and someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/"
Why I haven't received the draft for my family flag and crest. ,Please Fill out this Order Status Form and someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
Why haven’t I received an email confirmation for my order?,Everyone receives a Email Confirmation order directly to their Emails after their purchases. Please make sure to check your Spam folder 
Why is the download link invalid?,Possibly the link is broken. Please Fill out this Order Status Form and request a new download link. Someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
Why can’t I see all the course modules?,"Maybe your account is inactive and you need to update your card. If not, Please Fill out this Support Ticket Form and Someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/supportticket/"
"I purchased the bundle with 4pc Bundle PLUS Additional Paperwork for (1) Family Member , do i submit it the same way I did the first paperwork? ","Indeed, you submit it the exact same way using the same application form"
How do I find and use the coupon codes?,You can use the Coupon Codes during the Subscription Check out at the bottom of the Checkout page. We usually give out different codes during the year with certain specials and deals
How do I get corrections made on my documents?,"You can Email our Admin Directly at rachael.islamu@gmail.com, and they Can assist you from there"
How do I update my ID?,"You can Update your ID from the Private ID Product Page located under the menu section, and the “Genealogy and ID” tab"
Where can I get the SS4 FORM for my EIN?,You can Download SS4 Documents directly from the IRS and fill those out online
"I have paid for a product, and it is not showing in my account",Please Fill out this Order Status Form and someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
How do I upgrade my order?,You can Upgrade your Subscription directly from this link here: https://iselflawammaster.com/upgrade-membership/
How can I change the Tribe on my documents or plates?,In order to change the name of your plates you’ll need to repurchase the Plates and refill out the application in the desired way you want your plates to appear. To change the tribe on your Documents please email rachael.IslamU@gmail.com. Take notice that she might charge a small fee to go back and make numerous adjustments
Why can’t I see any of the orders I purchased?,"Possibly you don’t know were to look within your account section, or they haven’t been manually cleared yet; which can take up to 24-48 Hours not including weekends depending on how backed up we are at the moment. But all orders once cleared will be Emailed and Show up in your Account Section"
Why is it saying my order number is not valid?,Maybe You entered the Order Number in wrong. Please Fill out this Order Status Form and request a new download link. Someone will reach back out to you within 24—48 business Hours with an Update. https://iselflawammaster.com/order-status-inquiry-form/
Will the documents and ID’s work in other countries if the law is different?,"English Common Law operates in the Majority of Most Countries. The objective is to learn your Common Law Rights, and The ID is just suppose to “support” your Stance at Law."
How can I get the timer reset for 30 days?,"You can’t, once your 30 Days is up you would need to Enroll as a monthly paying member to keep gaining access to the platform"
How  do I renew an expiring ID ?,"You can Renew your ID from the Private ID Product Page located under the menu section, and the “Genealogy and ID” tab"
How do I continue with a package I purchased some time ago but did not finish?,Finish the Application and Submit it into us so we can start processing your Package
What is included in each package or service?,That detailed information can be found on our different product pages on https://iselflawammaster.com/we-do-it-for-you-services/
how long does it  take to receive my documents from the IRS?,It can usually take up to 3-4 Weeks if they aren’t too backed up.
How do I update my card details?,"To update your card you need to do a Reprint, and you can usually find that on the Product Page in the drop down bar."
Why do I get an error message when making payment,There might be an issue with your Browser. Please Fill out a Support ticket explaining your issue and someone on the team can send you a Manual Invoice https://iselflawammaster.com/supportticket/
How do I get a refund?,We don’t Offer Refunds
How can I use my payment as credit at a later date?,Please Email rachael.IslamU@gmail.com and discuss that with the Admin please.
My payment for being a full-time student kept being declined.  How do I get back to the payment page to pay for my courses. ?,"More than likely your Account has went inactive which is why the system wont allow you back in. Please Email rachael.IslamU@gmail.com and she can get you a Coupon Code to “resubscribe” back into the Payment gateway and membership. And no worries, You won’t have to the initial full price, only the Monthly Subscription Fee."
Why is my account not active?,"That I can not for sure answer without analyzing your account, but possible because you missed a payment"
How do I find out my  REGIONAL KLAN NAME or tribe,By doing your Tribal Genealogy. We can help assist with this process by checking out our Products at the link Below: https://iselflawammaster.com/ministryofntc/
Why can’t I access the master classes?,Because the playback recordings are only FREE for Full-Time Students. Newbie students only get to watch the Recording Live for Free.
Why am I unable to access  the credit repair subscription?,It’s not anything to access. You just need to fill out the Credit repair Application and our Partners will contact you
Why am I unable to move on with my course and keep being returned to orientation?,Because you MUST “complete” and check off every course in the Orientation before the system will allow you to move on to the next parts of the Curriculum.
Where can I find the links for the webinars?,You can find the webinars located here at this link: https://iselflawammaster.com/webinars/
,
Where do I find the consultation page for the correct person ,You can find the Consultation page link here: https://iselflawammaster.com/consultations/
Do I have to book the consultation myself?,"Yes You can pay for your consultation at this link, and after your order is cleared we will send you the information to schedule a time. https://iselflawammaster.com/consultations/"
How do I book a consultation?,You can book a consultation directly from this link https://iselflawammaster.com/consultations/
How long on average after you submit does it take for orders to be sent and tracked?,"That just depends on the Order, Product and Package. They all come with different expectations and times. Usually none take no longer than 10-30 Business Days which don’t include the Weekends."
Will I get tracking once I have made my order?,You will get tracking once your order has been Shipped off
What is the status of my order?,
